"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22938","WR","Rod","Streater","1.3","1","4500","OAK@SD","OAK","SD","NA","","",""
"24589","WR","Jaron","Brown","2.1","6","4500","BAL@ARI","ARI","BAL","","","",""
"14302","WR","Kris","Durham","2.1","4","4500","OAK@SD","OAK","SD","","","",""
"14372","WR","Aldrick","Robinson","0.2","5","4500","BAL@ARI","BAL","ARI","","","",""
"30297","TE","Trey","Burton","0","6","4500","PHI@CAR","PHI","CAR","","","",""
"22034","WR","Chris","Givens","1.3","5","4500","BAL@ARI","BAL","ARI","","","",""
"14649","TE","Kyle","Miller","0","2","4500","OAK@SD","SD","OAK","","","",""
"11870","WR","Seyi","Ajirotutu","0","5","4500","PHI@CAR","PHI","CAR","","","",""
"11622","WR","Trindon","Holliday","1.7","2","4500","OAK@SD","OAK","SD","","","",""
"33488","TE","Troy","Niklas","0.3","6","4500","BAL@ARI","ARI","BAL","","","",""
"7722","WR","Kevin","Ogletree","1.2","7","4500","DAL@NYG","NYG","DAL","","","",""
"33981","TE","Eric","Frohnapfel","0","0","4500","OAK@SD","SD","OAK","","","",""
"12545","D","Philadelphia","Eagles","10.8","6","4400","PHI@CAR","PHI","CAR","","","",""
"12548","D","San Diego","Chargers","4.3","6","4400","OAK@SD","SD","OAK","","","",""
"12537","D","Oakland","Raiders","7","5","4400","OAK@SD","OAK","SD","","","",""
"12530","D","Dallas","Cowboys","5","5","4400","DAL@NYG","DAL","NYG","","","",""
